31 3 1
0 8.753 8.753 0
1 6.769 7.179 0
6 4.793 7.482 0
0 8.500 8.500 0
9 6.245 7.529 0
1 7.750 7.912 0
0 8.159 8.159 0
1 7.294 7.696 0
4 7.554 8.413 0
1 8.270 8.270 0
5 5.850 7.210 0
3 6.370 7.329 0
1 6.846 7.432 0
1 6.828 7.427 0
3 6.754 7.182 0
4 6.961 7.380 0
1 7.583 7.854 0
1 8.500 8.500 0
0 8.226 8.226 0
3 6.610 7.180 0
0 7.683 7.844 0
3 6.509 7.252 0
4 6.612 7.926 0
1 8.410 8.410 0
2 6.959 7.464 0
0 7.555 7.718 0
0 8.227 8.227 0
3 5.618 7.059 0
3 5.422 7.016 0
0 7.941 7.941 0
3 5.576 6.983 0
